Depth (m),Isobath Area (m2),Radius (m),Volume (m3),(1/A)dA/dz (m-1),Interpolated ()
267,113724820,6017,3326333128,0.0152,true
268,112003000,5971,3213470313,0.0153,true
269,110292820,5925,3102323499,0.0154,true
270,108595080,5879,2992880646,0.0156,true
271,106910550,5834,2885128929,0.0157,true
272,105240000,5788,2779054750,0.0158,false
273,103584120,5742,2674643784,0.0159,true
274,101943200,5696,2571881216,0.016,true
275,100317400,5651,2470752005,0.0161,true
276,98706919,5605,2371240931,0.0162,true
277,97111932,5560,2273332589,0.0163,true
278,95532621,5514,2177011391,0.0164,true
279,93969169,5469,2082261571,0.0166,true
280,92421756,5424,1989067179,0.0167,true
281,90890564,5379,1897412085,0.0168,true
282,89375775,5334,1807279976,0.0169,true
283,87877571,5289,1718654358,0.017,true
284,86396133,5244,1631518556,0.017,true
285,84931643,5199,1545855711,0.0171,true
286,83484282,5155,1461648785,0.0172,true
287,82054231,5111,1378880558,0.0173,true
288,80641674,5066,1297533628,0.0174,true
289,79246790,5022,1217590410,0.0175,true
290,77869762,4979,1139033140,0.0176,true
291,76510772,4935,1061843869,0.0176,true
292,75170000,4892,986004471,0.0177,false
293,73842815,4848,911499049,0.018,true
294,72505326,4804,838325997,0.0187,true
295,71128829,4758,766510019,0.0198,true
296,69684621,4710,696104528,0.0214,true
297,68143997,4657,627191654,0.0235,true
298,66478254,4600,559882246,0.0262,true
299,64658686,4537,494315880,0.0296,true
300,62656591,4466,430660866,0.0336,true
301,60443263,4386,369114255,0.0386,true
302,57990000,4296,309901859,0.0446,false
303,55268096,4194,253278263,0.0519,true
304,52248849,4078,199526857,0.0609,true
305,48903553,3945,148959878,0.072,true
306,45203505,3793,101918477,0.0861,true
307,41120000,3618,58772831,0.2163,false
308,27413333,2954,24736940,0.5,true
309,13706667,2089,4568889,1,true
310,0,0,0,,false
